timestamp,poll_id,rtt_ms,bandwidth_kbps,cpu_load,ram_usage,gpu_load,gpu_temp,prev_rtt_ms,rtt_delta,rtt_trend,avg_bw_last_6s,local_latency_ms,cloud_latency_ms,queue_depth,error_rate_pct,network_ok,bandwidth_ok,offload_ok,prob,raw_decision,pending_mode,pending_count,previous_mode,current_mode,transition,push_ok,pipeline_action
2026-05-21 16:55:07,57,5.30,2207.09,4.40,85.15,0.00,37.00,0.66,4.64,stable,3312.31,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:09,58,0.66,3698.27,4.33,85.14,0.00,37.00,5.30,-4.64,stable,3277.63,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:11,59,0.66,3698.27,5.16,85.16,0.00,37.00,0.66,0.00,stable,3301.55,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:13,60,0.57,4585.82,6.85,85.16,0.00,36.50,0.66,-0.09,stable,3547.36,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:15,61,0.69,4634.59,10.27,85.15,0.00,36.50,0.57,0.12,stable,4154.24,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:17,62,0.69,4634.59,4.44,85.16,0.00,37.00,0.69,0.00,stable,4388.32,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:19,63,0.72,3432.33,9.25,85.16,0.00,36.50,0.69,0.03,stable,4321.83,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:21,64,0.74,3744.91,11.84,85.16,0.00,37.00,0.72,0.02,stable,4111.61,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:23,65,0.74,3744.91,8.79,85.15,0.00,36.50,0.74,0.00,stable,3889.19,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:25,66,0.70,3610.72,8.19,85.15,0.00,36.50,0.74,-0.04,stable,3633.22,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:27,67,0.62,3942.48,5.18,85.13,0.00,36.50,0.70,-0.08,stable,3760.76,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:29,68,0.62,3942.48,4.08,85.13,0.00,36.50,0.62,0.00,stable,3810.15,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:31,69,0.59,4043.19,10.15,85.13,0.00,36.50,0.62,-0.04,stable,3884.72,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:33,70,7.59,447.95,8.62,85.14,0.00,36.50,0.59,7.00,stable,3094.02,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:35,71,7.59,447.95,10.38,85.13,9.40,36.50,7.59,0.00,stable,2220.39,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:37,72,0.57,9236.01,25.29,85.53,0.00,36.50,7.59,-7.02,stable,3543.77,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:39,73,0.56,7511.63,19.67,85.52,0.00,37.00,0.57,-0.02,stable,4410.88,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
